iter	Logloss
0	0.6844909577
1	0.6761473154
2	0.6680896368
3	0.6605567871
4	0.6535843179
5	0.6469068351
6	0.6405881245
7	0.6346930287
8	0.6291775099
9	0.6239591959
10	0.6190986043
11	0.614622889
12	0.6104235653
13	0.6064466717
14	0.6026703838
15	0.5992122128
16	0.5959505629
17	0.5927320745
18	0.5897879863
19	0.5870282654
20	0.5844147813
21	0.5822358064
22	0.5799510816
23	0.5777827159
24	0.5757053093
25	0.5738064671
26	0.5720416894
27	0.570307613
28	0.5686439
29	0.5670967453
30	0.5656070415
31	0.5643618203
32	0.5630407426
33	0.5618125379
34	0.5605891907
35	0.5594550768
36	0.5583783514
37	0.5574225363
38	0.556471089
39	0.555556634
40	0.5546768279
41	0.5538832811
42	0.5530843932
43	0.5523896565
44	0.5517728821
45	0.5511331565
46	0.5504631294
47	0.5498543044
48	0.5492936998
49	0.5486845565
50	0.5482301512
51	0.5477454797
52	0.5472587927
53	0.5467643994
54	0.5462751709
55	0.5458251184
56	0.5453996161
57	0.5450324744
58	0.5446139916
59	0.5441930317
60	0.5438678408
61	0.543563418
62	0.5432151394
63	0.5428989008
64	0.5425629914
65	0.5422507507
66	0.5419528382
67	0.5417065747
68	0.541411824
69	0.5411010301
70	0.5408655303
71	0.5406182215
72	0.5403742214
73	0.5400917212
74	0.5398414759
75	0.5396261659
76	0.5394007543
77	0.539197514
78	0.5389778507
79	0.5387718453
80	0.5385728725
81	0.5383623437
82	0.5381671352
83	0.5379964139
84	0.5378264403
85	0.5376510711
86	0.537456942
87	0.5373274567
88	0.5371249737
89	0.5369948397
90	0.5368561814
91	0.5367410474
92	0.5365963709
93	0.5364916354
94	0.5363388135
95	0.5362110163
96	0.536072215
97	0.5359509328
98	0.5358236927
99	0.5357011973
100	0.5356047798
101	0.5354703358
102	0.5353338759
103	0.5352193133
104	0.5350924848
105	0.5349506922
106	0.5348857873
107	0.5347601753
108	0.5346495165
109	0.5345645219
110	0.5344631472
111	0.5343425195
112	0.5342359767
113	0.5341509527
114	0.5340187922
115	0.5339310597
116	0.533848697
117	0.5337467646
118	0.5336719552
119	0.5335327854
120	0.533438376
121	0.5333082564
122	0.5332197412
123	0.5331340754
124	0.5330200698
125	0.5329304719
126	0.5328473345
127	0.5327692774
128	0.5326770448
129	0.5325980501
130	0.5324999358
131	0.5323943833
132	0.5322878541
133	0.532174863
134	0.5320728487
135	0.5319778698
136	0.5318853457
137	0.5318221668
138	0.5317567053
139	0.5316927525
140	0.5316049632
141	0.5315221361
142	0.5314179731
143	0.5313461185
144	0.5312200343
145	0.5311443251
146	0.5310521769
147	0.5309985547
148	0.5308999378
149	0.5308219891
150	0.5307630787
151	0.5306804491
152	0.5306068157
153	0.5305678108
154	0.5304862256
155	0.5304094762
156	0.5303412004
157	0.530264014
158	0.5301894845
159	0.5301158056
160	0.5300432126
161	0.5299452057
162	0.529851167
163	0.5297975687
164	0.5297241413
165	0.5296596856
166	0.5296035122
167	0.5295448156
168	0.5294746427
169	0.529415719
170	0.5293391748
171	0.5292617424
172	0.5291665381
173	0.5290875445
174	0.5290396843
175	0.5289556157
176	0.5288910102
177	0.5288310155
178	0.5287448986
179	0.5286350309
180	0.5285821009
181	0.5285283936
182	0.5284371272
183	0.5284060294
184	0.5283265343
185	0.5282761435
186	0.5281928503
187	0.5281398027
188	0.5280842381
189	0.5280203782
190	0.5279680443
191	0.5278759356
192	0.5278136985
193	0.5277136011
194	0.5276512543
195	0.527584384
196	0.5275251344
197	0.5274435453
198	0.5273769633
199	0.5273219554
200	0.5272523191
201	0.5271876418
202	0.5271208016
203	0.5270561597
204	0.5269968534
205	0.5269180742
206	0.5268322333
207	0.5267833793
208	0.5266954715
209	0.5266472979
210	0.5265489529
211	0.5264806801
212	0.5264360211
213	0.5263968323
214	0.5263471249
215	0.5262823578
216	0.5262261652
217	0.5261451796
218	0.5261041308
219	0.5260191685
220	0.5259294946
221	0.5258532466
222	0.5257865946
223	0.5257332371
224	0.5256877183
225	0.5256280986
226	0.5255619118
227	0.5255099667
228	0.5254662118
229	0.52538982
230	0.5253382429
231	0.5252752009
232	0.5252021108
233	0.5251340836
234	0.5250771979
235	0.5250450365
236	0.5249968576
237	0.5249263194
238	0.524856332
239	0.5248063459
240	0.5247454607
241	0.5246666042
242	0.5246040336
243	0.5245335872
244	0.5244727301
245	0.5244219259
246	0.5243688958
247	0.5243057281
248	0.5242463162
249	0.5241738176
250	0.5241108133
251	0.5240501663
252	0.5239945442
253	0.5239318055
254	0.5238668916
255	0.5238336493
256	0.5237765803
257	0.5237061153
258	0.5236325093
