iter	Passed	Remaining
0	90	72007
1	99	39843
2	108	28955
3	118	23570
4	129	20616
5	141	18764
6	155	17587
7	166	16528
8	180	15821
9	193	15262
10	211	15176
11	227	14956
12	242	14702
13	254	14274
14	272	14236
15	290	14257
16	302	13950
17	314	13681
18	328	13504
19	338	13198
20	350	13017
21	363	12841
22	375	12693
23	384	12421
24	395	12247
25	403	12012
26	411	11794
27	421	11620
28	429	11425
29	439	11273
30	446	11086
31	456	10961
32	466	10836
33	476	10726
34	486	10624
35	494	10488
36	502	10361
37	510	10236
38	518	10116
39	526	10006
40	535	9914
41	545	9841
42	553	9746
43	561	9653
44	571	9580
45	580	9511
46	589	9450
47	599	9395
48	608	9325
49	618	9270
50	626	9196
51	635	9143
52	644	9083
53	654	9036
54	663	8985
55	671	8918
56	679	8859
57	688	8807
58	697	8755
59	706	8716
60	716	8674
61	725	8640
62	733	8586
63	743	8547
64	753	8519
65	762	8480
66	773	8459
67	783	8430
68	792	8398
69	801	8362
70	810	8323
71	819	8287
72	828	8249
73	837	8214
74	845	8174
75	857	8171
76	868	8153
77	878	8130
78	887	8095
79	897	8073
80	907	8051
81	916	8020
82	925	7994
83	934	7963
84	942	7928
85	951	7901
86	962	7884
87	970	7854
88	980	7831
89	988	7796
90	997	7772
91	1007	7750
92	1016	7730
93	1026	7708
94	1035	7685
95	1046	7677
96	1056	7655
97	1066	7639
98	1076	7620
99	1084	7593
100	1093	7570
101	1103	7551
102	1111	7524
103	1119	7495
104	1129	7473
105	1138	7451
106	1147	7429
107	1155	7405
108	1166	7393
109	1175	7374
110	1184	7349
111	1192	7328
112	1201	7305
113	1209	7277
114	1218	7255
115	1226	7231
116	1235	7212
117	1244	7195
118	1253	7175
119	1262	7156
120	1271	7134
121	1281	7122
122	1291	7107
123	1299	7086
124	1308	7065
125	1317	7048
126	1325	7026
127	1334	7008
128	1343	6987
129	1351	6966
130	1360	6946
131	1369	6930
132	1379	6918
133	1388	6902
134	1397	6882
135	1406	6866
136	1415	6851
137	1423	6828
138	1431	6807
139	1439	6786
140	1449	6774
141	1457	6753
142	1466	6738
143	1475	6722
144	1484	6705
145	1493	6688
146	1502	6675
147	1511	6658
148	1521	6647
149	1530	6631
150	1538	6611
151	1546	6594
152	1556	6583
153	1566	6572
154	1575	6555
155	1583	6538
156	1592	6521
157	1601	6506
158	1610	6492
159	1619	6476
160	1628	6462
161	1636	6444
162	1646	6432
163	1655	6421
164	1665	6409
165	1674	6396
166	1684	6383
167	1693	6371
168	1701	6352
169	1709	6335
170	1718	6320
171	1727	6306
172	1736	6291
173	1744	6275
174	1754	6266
175	1763	6251
176	1773	6240
177	1783	6232
178	1793	6220
179	1802	6206
180	1811	6194
181	1819	6176
182	1827	6162
183	1836	6148
184	1844	6133
185	1854	6120
186	1863	6109
187	1872	6094
188	1881	6081
189	1889	6065
190	1898	6053
191	1906	6036
192	1914	6021
193	1924	6011
194	1935	6006
195	1944	5992
196	1954	5982
197	1963	5968
198	1971	5955
199	1980	5940
200	1989	5929
201	1998	5917
202	2010	5913
203	2019	5901
204	2029	5889
205	2039	5881
206	2047	5866
207	2056	5854
208	2065	5839
209	2074	5827
210	2082	5814
211	2092	5803
212	2100	5788
213	2110	5778
214	2118	5764
215	2127	5753
216	2135	5737
217	2144	5726
218	2153	5712
219	2161	5699
220	2170	5686
221	2179	5673
222	2187	5660
223	2195	5646
224	2204	5633
225	2215	5626
226	2224	5614
227	2235	5609
228	2244	5596
229	2253	5585
230	2262	5571
231	2271	5561
232	2283	5555
233	2292	5545
234	2302	5535
235	2310	5522
236	2319	5509
237	2328	5497
238	2336	5484
239	2346	5474
240	2355	5462
241	2364	5451
242	2373	5441
243	2382	5429
244	2392	5419
245	2400	5406
246	2410	5397
247	2419	5385
248	2428	5373
249	2437	5361
250	2445	5347
251	2453	5334
252	2461	5321
253	2470	5311
254	2479	5299
255	2488	5288
256	2497	5276
257	2506	5264
258	2514	5252
259	2523	5241
260	2533	5231
261	2542	5220
262	2551	5210
263	2560	5198
264	2568	5186
265	2577	5174
266	2585	5161
267	2594	5150
268	2602	5136
269	2610	5123
270	2616	5107
271	2625	5097
272	2633	5084
273	2642	5072
274	2651	5061
275	2661	5052
276	2670	5042
277	2680	5033
278	2689	5022
279	2698	5011
280	2706	4998
281	2715	4988
282	2724	4977
283	2734	4967
284	2743	4956
285	2752	4947
286	2761	4935
287	2769	4923
288	2777	4911
289	2787	4901
290	2796	4891
291	2805	4880
292	2814	4869
293	2822	4857
294	2829	4843
295	2838	4833
296	2846	4820
297	2854	4808
298	2862	4795
299	2871	4786
300	2880	4775
301	2889	4764
302	2898	4754
303	2906	4742
304	2915	4732
305	2925	4723
306	2934	4712
307	2943	4702
308	2952	4691
309	2961	4681
310	2970	4670
311	2978	4659
312	2988	4649
313	2996	4638
314	3005	4628
315	3014	4617
316	3025	4609
317	3033	4597
318	3041	4585
319	3050	4575
320	3058	4563
321	3066	4552
322	3075	4541
323	3083	4529
324	3091	4518
325	3099	4507
326	3107	4495
327	3116	4484
328	3125	4473
329	3133	4462
330	3142	4452
331	3150	4441
332	3158	4429
333	3167	4419
334	3174	4406
335	3184	4397
336	3192	4385
337	3200	4374
338	3208	4363
339	3217	4352
340	3226	4342
341	3235	4332
342	3244	4322
343	3253	4312
344	3262	4302
345	3270	4291
346	3279	4281
347	3290	4273
348	3299	4264
349	3309	4254
350	3317	4243
351	3326	4233
352	3334	4222
353	3346	4215
354	3353	4203
355	3361	4192
356	3371	4183
357	3379	4172
358	3388	4161
359	3396	4151
360	3405	4141
361	3413	4130
362	3421	4119
363	3430	4109
364	3439	4099
365	3449	4090
366	3457	4079
367	3469	4072
368	3477	4061
369	3485	4050
370	3494	4041
371	3505	4032
372	3515	4024
373	3525	4015
374	3537	4009
375	3547	4000
376	3558	3993
377	3569	3985
378	3580	3976
379	3589	3967
380	3599	3958
381	3608	3949
382	3619	3940
383	3628	3931
384	3638	3922
385	3647	3912
386	3657	3902
387	3668	3895
388	3676	3884
389	3686	3875
390	3694	3864
391	3704	3855
392	3713	3846
393	3721	3835
394	3730	3824
395	3740	3816
396	3750	3807
397	3759	3797
398	3769	3788
399	3778	3778
400	3786	3768
401	3795	3757
402	3803	3747
403	3812	3736
404	3820	3726
405	3829	3716
406	3838	3706
407	3847	3697
408	3857	3688
409	3866	3677
410	3874	3667
411	3883	3657
412	3892	3647
413	3901	3637
414	3909	3627
415	3917	3616
416	3926	3606
417	3936	3597
418	3945	3588
419	3956	3579
420	3965	3569
421	3974	3560
422	3983	3550
423	3991	3539
424	4000	3530
425	4010	3520
426	4019	3511
427	4028	3501
428	4037	3491
429	4045	3481
430	4054	3471
431	4063	3461
432	4072	3451
433	4081	3442
434	4089	3431
435	4098	3421
436	4108	3412
437	4116	3402
438	4127	3393
439	4135	3383
440	4143	3373
441	4152	3363
442	4162	3354
443	4170	3344
444	4180	3334
445	4188	3324
446	4197	3314
447	4207	3305
448	4215	3295
449	4224	3285
450	4232	3275
451	4241	3265
452	4249	3255
453	4260	3246
454	4268	3236
455	4276	3226
456	4286	3217
457	4296	3208
458	4305	3198
459	4314	3189
460	4323	3179
